,fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.0041376688810120165
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,0.0
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.0
MEVK1,0.03802353043157338
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.00018362023824336282
PPDOy,0.0
GLYCLTDy,0.058235514735671234
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.5413777712307756
MI145P6Kn,0.0
ADK3m,0.0
DMATT,0.01261108938479124
PMPK,5.969264687818072e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.004077954807979318
GLYTRS,0.021992433762254064
HACD4p,0.0
GAT2er_RT,0.0
DASYNer_RT,0.001581233790240394
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.024678002945672944
HSTPT,0.0026808126264888633
FACOAL141p,0.0
FE2t,-0.00018357738637912865
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.008942027065334247
AICART,0.007909639952210367
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.16183172042174387
COAtim,0.0
NADS2,0.0
ACACT4p,0.0
HISTRS,0.0026211199796106824
PHETRSm,0.0
OMCDC,0.013721381187098248
LEUTA,-0.013721381187098248
DTMPK,0.00010811525346277815
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.0
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0009992626220763075
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.007384833170929215
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,3.299593546030044e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.00018289175655138214
UDPG4E,0.0
CYOR_u9m,2.549374447621433
SHK3Dr,0.008020626280571378
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,3.299593546030044e-05
IPC324PLCg_RT,0.0
GARFT,0.005228827325721504
PYDAMK,0.0
HKYNH,7.211968750606146e-05
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.061969280721223874
ASAD,-0.01869056906741956
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-9.120116623472086
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.006794977259746043
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,2.96106381858025e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,-1.4228637344122215
PTE7x,0.0
NDPK3,0.0017355005014833592
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,0.0
SACCD4m,0.0
C4STMO2er,0.006274884183536081
URIDK2r,-0.00029173549170614097
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.2489048819966712
HSERTA,0.004295385167103427
CITtam,-0.07898082804441882
PHETRS,0.004077954807979318
FMNAT,3.218175003985192e-05
TYRTRS,0.002672370809234734
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.01869056906741956
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.014395183900316133
GTPt2m,0.0
PPCDC,3.299593546030044e-05
ATPATF1,0.0
PRATPP,0.0026808126264888633
ASPTRS,0.008454501405942243
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.007909639952210367
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,-0.21034192425747988
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.008020626280571378
ORNt3m,0.006734856094225524
LEUTAm,0.0
ECOAH6m,0.0
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.07727360977312102
ACOAH,0.0
CERS2p26er,0.0
PYK,0.7003107933779018
TRDRm,0.0
FAS180COA,0.008246155642008967
PPCOAOm,0.006121388805854769
GHMT2r,-0.043483457861104254
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.03802353043157338
FAS80COA_L,0.009274771791085672
DHFS,0.00016720797424167946
ACGKm,0.006734856094225524
PGCD,0.0
PPBNGS,0.00011844255274321
PRMICI,0.0026808126264888633
PPNCL3,3.299593546030044e-05
NNAMrm,0.0
PGM,-0.7163520459390446
CYTK2,0.00018362023824336282
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.07183078023741957
GTHRDabcv,0.0
DOLPMMer,0.034621778041209056
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.005782644819078319
ADNCYC,7.679054070760937e-05
URIt2,0.0
ASPCT,0.004405942976827545
CYSTRS,0.0014684905354403269
ARGt2r,0.0
ACITL,0.0
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.006121388805854769
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0013286220505800384
PHETA1,-0.004077954807979318
HEX10,0.0
16GS,0.0075982783066795515
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.5087188844603462
BTDD_RR,0.0
HMGCOAS,-0.03802353043157338
GTPCI,0.00016720797424167946
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.013721381187098248
PMETMer_RT,0.0007370520648275008
G3PD1ir,0.0037238270019482444
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,-0.06699220483941393
ASPTA,-0.053009341576639744
MIPCS326g_RT,0.0
PRAMPC,0.0026808126264888633
ADSL1r,0.0053174878328219825
ARGN,0.0
ICDHyp,0.0
TKT2,0.13325951950255532
SAM24MTer,0.00024129884750253815
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
