reaction_id,median_fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.006312617461121034
DAGCPTer_RT,0.015174132101210864
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.31672809548786884
PDE4,0.12035409567795918
PAPSR,4.8623738504982426e-05
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.009544371130399704
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,-0.032380063684269836
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.002390098063227831
POLYAO,0.029501685814914504
MEVK1,0.11305093639130184
DATUP,0.005192738389119498
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,-237641.58705471235
CYSt2r,-0.0004240952913066538
ATPS2v,0.2277077076609722
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,-145879.80991983388
GTHRDH_syn,0.0
NDPK7,145797.71756769315
PPDOy,0.0
GLYCLTDy,-0.6819925642141599
DGK1,0.12542866454576196
SLCBK2er,0.0
CERS126er,-4.763476415210885e-13
CSm,2.4955800341045213
MI145P6Kn,0.0
ADK3m,-61892.18518330582
DMATT,0.036958652421524546
PMPK,0.000113185642839704
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.009947410028273113
GLYTRS,0.041700743444503044
HACD4p,-0.009544371130399704
GAT2er_RT,0.01087988105000616
DASYNer_RT,0.0038865244277300516
ACOAD8m,0.05828102113661744
ECOAH1p,0.0
KYN,0.0724809933576932
HSTPT,0.007941136681952982
FACOAL141p,0.0
FE2t,-0.1148238781265184
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.016955339302433217
AICART,0.020990383036973807
CYTD,0.0022518303180612234
42A12BOOX,0.0
DPGM,0.022854380345733376
TPI,0.8236490472056537
COAtim,7.565126752309531e-13
NADS2,3.121180740093663e-06
ACACT4p,0.009544371130399704
HISTRS,0.004970011640758167
PHETRSm,0.0
OMCDC,0.08903189199835329
LEUTA,85732.61834693048
DTMPK,0.00020500170630622774
ALCD23yi,0.0
FA140COAabcp,0.0068474286944072045
FACOAL160p,3.9815570370881355e-05
PGL,0.4269606315483401
THRD_Lm,0.09159278663883631
BGLA,0.0
TRPTRS,0.0018947422867042836
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,-0.02784210524182021
LNS14DMrx,0.0008248811875948415
ACOAD10m,0.02025851906001829
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.2596756053445184
TRPTRSm,0.0
HEX7,0.9742137760661662
HICITDm,0.07699694770038035
MALtm,0.6649026905912633
AMID,0.0
MCITSm,0.025036331216559016
GNNUC,0.0
PNTK,6.25649301563448e-05
FAO80p,0.009544371130399704
ADA,0.01764976342822605
GLUDxi,21584.814722308653
URAt2,0.0
FA180COAabcp,0.001357851155187728
AMID2,0.0
ERGSTt,-0.0003012227045300267
CSNATp,0.33892783848001456
UDPG4E,0.0
CYOR_u9m,11.554638556158135
SHK3Dr,0.07995414120523545
SSALy,0.194198545875487
CYSDS,0.0001856649477783084
RBK,0.23861006449053473
MOHMT,6.256492971326265e-05
IPC324PLCg_RT,0.0
GARFT,0.012453914913707067
PYDAMK,0.0
HKYNH,0.015203607502723865
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,3.367847310089486e-13
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.2119245158637092
ASAD,-0.2392156467695275
ECOAH7p,-0.002390098063227831
FACOAL140p,0.0068474286944072045
ECOAH9m,0.02025851906001829
HXPRT,0.032916753410327376
H2Otm,-35.64902704584546
C22STDSrx,5.7968839503856625e-06
NTRLASE2,0.0
DHAD2m,0.03316695204381863
ERGSTGLCT,0.0
FACOAL182,0.04143052477691657
P5CR,0.004913945651025418
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,360279.57188310055
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,5.614592907554561e-05
PTRCt3i,647343.92985421
NAPRT,0.03802586748703983
MIP2C324PLCg_RT,5.045859562639139e-14
ALCD2x,-683204.7534791245
PTE7x,0.0
NDPK3,680706.7920445848
FAO161p_odd,7.984484626293886e-07
LANOSTt,-0.0005647463805855642
FACOAL120,0.0
ECOAH5m,-0.032380063684269836
SACCD4m,0.0
C4STMO2er,0.016715981138530324
URIDK2r,-697866.0620404897
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-507938.10476652073
HSERTA,0.013708143628623878
CITtam,421571.9411113806
PHETRS,0.007732375100644415
FMNAT,6.10211182861524e-05
TYRTRS,0.0050671904123564
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.23921564676914786
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.21375054732935203
GTPt2m,0.734373411072432
PPCDC,6.25649301563448e-05
ATPATF1,0.0
PRATPP,0.007941136681952982
ASPTRS,0.016030922174947816
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.020990383036973807
DGTUP,0.0
PDE5,0.0
NDPK9,4.058978508481389e-05
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,0.10790169688451035
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.10729231754979823
ORNt3m,0.10115229785694743
LEUTAm,-85732.64679530168
ECOAH6m,-0.032380063684269836
NADH2_u9cm,0.21611340333894433
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.015174132101210864
NDPK2,239738.9287905338
ACOAH,0.0
CERS2p26er,0.0
PYK,2.23054808949542
TRDRm,0.0
FAS180COA,0.02146499670009092
PPCOAOm,0.13495134431699374
GHMT2r,-0.1573932244198605
ACACT5p,0.009544371130399704
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.11305093639130187
FAS80COA_L,0.06786224685100381
DHFS,0.0003170498023104484
ACGKm,0.1115916848589229
PGCD,0.09901696298616228
PPBNGS,0.00022458371630218243
PRMICI,0.007941136681952982
PPNCL3,6.25649301563448e-05
NNAMrm,0.0
PGM,-2.349760105375171
CYTK2,295046.8255362176
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,4.802860746153148e-06
ETHAPTer_RT,0.0
PGMT,-0.4752784028834748
GTHRDabcv,0.0
DOLPMMer,0.06564775410018124
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.01095359752848871
ADNCYC,0.0013271447578363906
URIt2,0.0
ASPCT,0.00835428682642434
CYSTRS,0.0027844643176409374
ARGt2r,0.0
ACITL,0.19531600735618704
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.05853746383228803
PEAMNO,0.0
ALDD2x,0.060296418158822154
PDE1,0.0
IPCS224g_RT,7.967760486384095e-13
ALKP,0.0
3HPCOAHYDm,0.13495134431699374
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.002519254010684874
PHETA1,-0.009947410028273113
HEX10,0.0
16GS,0.014407402914660333
MCOATAm,0.0
