,fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.01739159839016698
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,-9.14654089178149e-05
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.015178371724498539
MEVK1,0.019015825671980995
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,0.0
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0
PPDOy,0.0
GLYCLTDy,0.290704863261498
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.1588275823960165
MI145P6Kn,0.0
ADK3m,0.019701644794799227
DMATT,0.00630689140521866
PMPK,2.9852697896564986e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.002039412880566197
GLYTRS,0.01099856540881198
HACD4p,0.0
GAT2er_RT,0.0
DASYNer_RT,0.0007907857518903435
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.012341636787043109
HSTPT,0.0013406925918227613
FACOAL141p,0.0
FE2t,-9.180829704873252e-05
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.004471968433718528
AICART,0.003955664630616378
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.01931000060928493
COAtim,-2.5092033722182474e-17
NADS2,0.0
ACACT4p,0.0
HISTRS,0.0013108398939261961
PHETRSm,0.0
OMCDC,0.006862155872196409
LEUTA,-0.006862155872196409
DTMPK,5.4069172141445446e-05
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.0
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0004997380202799707
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,0.0
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.0036932051969178
MALtm,0.0
AMID,0.0
MCITSm,0.0
GNNUC,0.0
PNTK,1.6501491299516678e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,0.0
UDPG4E,0.0
CYOR_u9m,1.6491642151264403
SHK3Dr,0.0040111696468038294
SSALy,0.0
CYSDS,0.0
RBK,0.0
MOHMT,1.650149129951668e-05
IPC324PLCg_RT,0.0
GARFT,0.002614972038793616
PYDAMK,0.0
HKYNH,3.606754526890277e-05
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.030991257935225412
ASAD,-0.009438745870835305
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-6.6531391808968925
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.0033982142518021643
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.0
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,1.4808481153285298e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,0.0
PTE7x,0.0
NDPK3,0.0
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,-9.146540891781488e-05
SACCD4m,0.0
C4STMO2er,0.003138112174005604
URIDK2r,-0.00014589889969835932
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.12455462788198009
HSERTA,0.002148151279078072
CITtam,-0.13946901860669203
PHETRS,0.0020394128805661968
FMNAT,1.60943116441639e-05
TYRTRS,0.0013364707817110433
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.009438745870835307
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.007290594591757233
GTPt2m,0.0
PPCDC,1.6501491299516678e-05
ATPATF1,0.0
PRATPP,0.0013406925918227613
ASPTRS,0.004228153542139762
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.003955664630616378
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,-0.024362566019155808
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.004011169646803829
ORNt3m,0.0033681472488238163
LEUTAm,0.0
ECOAH6m,-9.146540891781488e-05
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.03956551853653109
ACOAH,0.0
CERS2p26er,0.0
PYK,0.030992111858546074
TRDRm,0.0
FAS180COA,0.004123958411362232
PPCOAOm,0.0
GHMT2r,-0.021746372441394355
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.019015825671981
FAS80COA_L,0.004729841738664214
DHFS,8.362184292346964e-05
ACGKm,0.003368147248823816
PGCD,0.0
PPBNGS,5.923392461314119e-05
PRMICI,0.001340692591822761
PPNCL3,1.6501491299516678e-05
NNAMrm,0.0
PGM,-0.03901445115215382
CYTK2,0.0002643024574000977
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.03592306078298654
GTHRDabcv,0.0
DOLPMMer,0.01731458621051588
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.0028919399265268948
ADNCYC,3.840347066090774e-05
URIt2,0.0
ASPCT,0.0022034419901859397
CYSTRS,0.0007344020848653167
ARGt2r,0.0
ACITL,0.31924991935534786
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.0
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0006644529061615204
PHETA1,-0.002039412880566197
HEX10,0.0
16GS,0.0037999505581690044
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.15463645170526436
BTDD_RR,0.0
HMGCOAS,-0.019015825671980995
GTPCI,8.362184292346964e-05
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.006862155872196408
PMETMer_RT,0.00036860474071853406
G3PD1ir,0.0018237362462294917
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,0.6671860905319617
MIPCS326g_RT,0.0
PRAMPC,0.0013406925918227613
ADSL1r,0.0026593117602207485
ARGN,0.0
ICDHyp,0.0
TKT2,-0.014186867832979818
SAM24MTer,0.00012067519156895729
BACCL,0.0
