,fluxes
ALCD25yi,0.0
MTHFCm,0.0
AMPN,0.0
DAGCPTer_RT,0.0
PYRt2,0.0
NNDPRm,0.0
HMGCOASm,-0.09337431165227122
PDE4,0.0
PAPSR,0.0
FACOAL80p,0.0
URIH,0.0
ACOAO4p,0.0
3IPM3MT,0.0
UDPGD,0.0
CYTDK2,0.0
ACACT4m,-9.14654089176878e-05
CHTNDA,0.0
FACOAL141,0.0
ACACT7p,0.0
POLYAO,0.015178371724455682
MEVK1,0.019015825671923513
DATUP,0.0
TAUDO,0.0
CSp,0.0
PSERT,0.0
GK2,-5.2526175552232295e-05
CYSt2r,0.0
ATPS2v,0.0
SPHPLer,0.0
PLBPCe_RT,0.0
ALDD19xr,0.0
GTHRDH_syn,0.0
NDPK7,0.0
PPDOy,0.0
GLYCLTDy,-0.2500836218429233
DGK1,0.0
SLCBK2er,0.0
CERS126er,0.0
CSm,0.0
MI145P6Kn,0.0
ADK3m,0.019701644794739896
DMATT,0.006306891405199595
PMPK,2.985269789647473e-05
LGTHL,0.0
PUNP3m,0.0
PPNDH,0.002039412880560031
GLYTRS,0.010998565408778724
HACD4p,0.0
GAT2er_RT,0.0018237362462239775
DASYNer_RT,0.0007907857518881103
ACOAD8m,0.0
ECOAH1p,0.0
KYN,0.01234163678682937
HSTPT,0.0013406925918187076
FACOAL141p,0.0
FE2t,-9.180829704844098e-05
3MOPDC,0.0
PTE11x,0.0
GLUTRS,0.004471968433705007
AICART,0.003955664630605814
CYTD,0.0
42A12BOOX,0.0
DPGM,0.0
TPI,0.019310000609349266
COAtim,-4.288406626544148e-13
NADS2,3.6067545445218043e-05
ACACT4p,0.0
HISTRS,0.001310839893922233
PHETRSm,0.0
OMCDC,0.0068621558721756615
LEUTA,0.0
DTMPK,5.406917214128196e-05
ALCD23yi,0.0
FA140COAabcp,0.0
FACOAL160p,0.0
PGL,0.0
THRD_Lm,0.0
BGLA,0.0
TRPTRS,0.0004997380202784598
AMETt2,0.0
SHSL1,0.0
AHSERL,0.0
ACtr,6.75131416130402e-15
LNS14DMrx,0.0
ACOAD10m,0.0
TMDPP,0.0
INSTt2,0.0
IPC224PLCg_RT,0.0
DCTCP,0.0
TRPTRSm,0.0
HEX7,0.0
HICITDm,0.0036932051969067307
MALtm,0.0
AMID,0.0
MCITSm,-4.388704661023594e-13
GNNUC,0.0
PNTK,1.6501491299690004e-05
FAO80p,0.0
ADA,0.0
GLUDxi,0.0
URAt2,0.0
FA180COAabcp,0.0
AMID2,0.0
ERGSTt,0.0
CSNATp,1.1847513074612007e-16
UDPG4E,0.0
CYOR_u9m,1.6491642151260757
SHK3Dr,0.004011169646968209
SSALy,1.430071059481167e-16
CYSDS,0.0
RBK,0.0
MOHMT,1.650149129969001e-05
IPC324PLCg_RT,0.0
GARFT,0.002614972038787105
PYDAMK,0.0
HKYNH,3.6067545445218043e-05
DATCY,0.0
NNATn,0.0
METTRSm,0.0
SFGTHi,0.0
IPCS226g_RT,0.0
ACP1e,0.0
FAO141p_even,0.0
FTHFLi,0.03099125793513511
ASAD,-0.02907380607618865
ECOAH7p,0.0
FACOAL140p,0.0
ECOAH9m,0.0
HXPRT,0.0
H2Otm,-6.841824358388985
C22STDSrx,0.0
NTRLASE2,0.0
DHAD2m,0.00339821425179189
ERGSTGLCT,0.0
FACOAL182,0.0
P5CR,0.0
PSPHPLer,0.0
MI1PP,0.0
NAt3_1,0.010850930647838876
NDPK10,0.0
BPNT2,0.0
RNDR3n,0.0
CPPPGO,1.4808481153240524e-05
PTRCt3i,0.0
NAPRT,0.0
MIP2C324PLCg_RT,0.0
ALCD2x,0.0
PTE7x,0.0
NDPK3,0.0
FAO161p_odd,0.0
LANOSTt,0.0
FACOAL120,0.0
ECOAH5m,-9.146540891768779e-05
SACCD4m,0.0
C4STMO2er,0.0031381121739961163
URIDK2r,-0.00014589889969791764
NTPP9,0.0
CERS2p24er,0.0
ALPHNH,0.0
DURIPP,0.0
GLUDy,-0.20481306003203123
HSERTA,0.002148151279071801
CITtam,0.019358563789705577
PHETRS,0.0020394128805600307
FMNAT,1.609431164411524e-05
TYRTRS,0.0013364707817070025
TYRTRSm,0.0
NTRLASE3,0.0
ILETRSm,0.0
ASPK,0.029073806076188653
DIPS,0.0
UDPGALt2g,0.0
LALDO3,0.0
HSK,0.02692565479711685
GTPt2m,0.0
PPCDC,1.6501491299690008e-05
ATPATF1,0.0
PRATPP,0.0013406925918187076
ASPTRS,0.004228153542126978
TYRt6,0.0
FAO161p_even,0.0
PSERDv_RT,0.0
IMPC,-0.003955664630605814
DGTUP,0.0
PDE5,0.0
NDPK9,0.0
RNDR4n,0.0
SUCRe,0.0
TYRt7,0.0
RPE,-0.024362566018982727
HEX4,0.0
ILEt7,0.0
ADNUC,0.0
DHQTi,0.004011169646968209
ORNt3m,0.0033681472488136287
LEUTAm,-0.006862155872175661
ECOAH6m,-9.146540891768779e-05
NADH2_u9cm,0.0
OMCDCm,0.0
FA182COAabcp,0.0
CHLPCTD,0.0
NDPK2,0.0
ACOAH,0.0
CERS2p26er,0.0
PYK,0.03099211185816637
TRDRm,0.0
FAS180COA,0.004123958411349764
PPCOAOm,0.0
GHMT2r,-0.021746372441328828
ACACT5p,0.0
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.019015825671923517
FAS80COA_L,0.004729841738650062
DHFS,8.362184292338191e-05
ACGKm,0.0033681472488136287
PGCD,0.0
PPBNGS,5.9233924612962075e-05
PRMICI,0.0013406925918187074
PPNCL3,1.6501491299690004e-05
NNAMrm,0.0
PGM,-0.039014451152102794
CYTK2,0.0
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,0.0
ETHAPTer_RT,0.0
PGMT,-0.03592306078287793
GTHRDabcv,0.0
DOLPMMer,0.01731458621046353
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.002891939926518151
ADNCYC,3.840347066079162e-05
URIt2,0.0
ASPCT,0.00220344199017943
CYSTRS,0.0007344020848630963
ARGt2r,0.0
ACITL,0.16042233695895294
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.0
PEAMNO,0.0
ALDD2x,0.0
PDE1,0.0
IPCS224g_RT,0.0
ALKP,0.0
3HPCOAHYDm,0.0
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.0006644529061595112
PHETA1,-0.0020394128805600307
HEX10,0.0
16GS,0.0037999505581575153
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0
THFGLUS,0.0
ADK1,0.23061916496732068
BTDD_RR,0.0
HMGCOAS,-0.019015825671923517
GTPCI,8.362184292338191e-05
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.006862155872175661
PMETMer_RT,0.00036860474071741955
G3PD1ir,0.0
NNAM,0.0
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,0.0
ASPTA,1.2865437258828174
MIPCS326g_RT,0.0
PRAMPC,0.0013406925918187074
ADSL1r,0.08291774391107264
ARGN,0.0
ICDHyp,0.0
